策略	类型	变体	Calmar	Sharpe	MDD%	AR%	WinRate	Calmar变化
mf_d10_rp	mf	原始	-1.0821	-1.8001	9.48	-10.26	38.1	---
mf_d10_rp	mf	翻转	2.2243	2.0199	9.09	20.22	46.2	+3.3064
mf_vol_d10_rp	mf_vol	原始	-0.9575	-1.8112	11.26	-10.78	45.2	---
mf_vol_d10_rp	mf_vol	翻转	2.0806	2.2203	11.38	23.68	51.3	+3.0381
c01_layered_d5	mf_trend	原始	-1.599	-4.2467	14.24	-22.78	38.1	---
c01_layered_d5	mf_trend	翻转	1.8763	2.1841	12.81	24.04	51.3	+3.4753
mf50_chip50	combo_50	原始	-0.9575	-1.8112	11.26	-10.78	45.2	---
mf50_chip50	combo_50	翻转	2.0806	2.2203	11.38	23.68	51.3	+3.0381
mf_trend_d5_rp	mf_trend	原始	-1.599	-4.2467	14.24	-22.78	38.1	---
mf_trend_d5_rp	mf_trend	翻转	1.8763	2.1841	12.81	24.04	51.3	+3.4753
v1_ga_rp	mf	原始	0.5755	0.7569	8.92	5.13	52.3	---
v1_ga_rp	mf	翻转	3.1819	2.9585	9.56	30.42	54.5	+2.6064
MSS_bull	混合	原始	-0.9844	---	---	---	---	---
MSS_bull	混合	翻转	2.0628	---	---	---	---	+3.0472
MSS_bear	混合	原始	-1.0389	---	---	---	---	---
MSS_bear	混合	翻转	1.4583	---	---	---	---	+2.4972
MSS_oscillate	混合	原始	-1.1998	---	---	---	---	---
MSS_oscillate	混合	翻转	2.0768	---	---	---	---	+3.2766
MSS_recovery	混合	原始	-0.9269	---	---	---	---	---
MSS_recovery	混合	翻转	1.3747	---	---	---	---	+2.3016
